experiment_type,plot_type,dataset,horizon,seed,metric,value
W1,forest_plot,ETTm1,96,3,delta_grad_align_all,0.0019170315913362998
W1,forest_plot,ETTm1,96,5,rmse_per,2.806413209922566
W1,forest_plot,ETTm1,96,5,rmse_last,2.9481464381810265
W1,forest_plot,ETTm1,96,5,delta_rmse,0.14173322825846046
W1,forest_plot,ETTm1,96,5,delta_rmse_pct,4.807536912783352
W1,forest_plot,ETTm1,96,5,cka_full_mean_per,0.9670190915974942
W1,forest_plot,ETTm1,96,5,cka_full_mean_last,0.969350191759212
W1,forest_plot,ETTm1,96,5,delta_cka_global,-0.0023311001617177807
W1,forest_plot,ETTm1,96,5,grad_align_mean_per,-0.008558933669471
W1,forest_plot,ETTm1,96,5,grad_align_mean_last,0.0024833073398352
W1,forest_plot,ETTm1,96,5,delta_grad_align_all,-0.011042241009306201
W1,forest_plot,ETTm1,96,7,rmse_per,2.8223539873169914
W1,forest_plot,ETTm1,96,7,rmse_last,2.962324718327889
W1,forest_plot,ETTm1,96,7,delta_rmse,0.13997073101089752
W1,forest_plot,ETTm1,96,7,delta_rmse_pct,4.72502997881695
W1,forest_plot,ETTm1,96,7,cka_full_mean_per,0.9796798078753188
W1,forest_plot,ETTm1,96,7,cka_full_mean_last,0.9720027645325904
W1,forest_plot,ETTm1,96,7,delta_cka_global,0.007677043342728451
W1,forest_plot,ETTm1,96,7,grad_align_mean_per,-0.0015806928897957
W1,forest_plot,ETTm1,96,7,grad_align_mean_last,0.000333343771751
W1,forest_plot,ETTm1,96,7,delta_grad_align_all,-0.0019140366615467
W1,forest_plot,ETTm1,96,11,rmse_per,2.8167395956616343
W1,forest_plot,ETTm1,96,11,rmse_last,2.9546703352245505
W1,forest_plot,ETTm1,96,11,delta_rmse,0.13793073956291613
W1,forest_plot,ETTm1,96,11,delta_rmse_pct,4.668227717947207
W1,forest_plot,ETTm1,96,11,cka_full_mean_per,0.9798229488848884
W1,forest_plot,ETTm1,96,11,cka_full_mean_last,0.9774946403145508
W1,forest_plot,ETTm1,96,11,delta_cka_global,0.0023283085703376116
W1,forest_plot,ETTm1,96,11,grad_align_mean_per,-0.0053703536866899
W1,forest_plot,ETTm1,96,11,grad_align_mean_last,-0.0006357844175563
W1,forest_plot,ETTm1,96,11,delta_grad_align_all,-0.0047345692691336
W1,forest_plot,ETTm1,96,13,rmse_per,2.8118365882883487
W1,forest_plot,ETTm1,96,13,rmse_last,2.936443544702187
W1,forest_plot,ETTm1,96,13,delta_rmse,0.12460695641383834
W1,forest_plot,ETTm1,96,13,delta_rmse_pct,4.24346508001658
W1,forest_plot,ETTm1,96,13,cka_full_mean_per,0.9777636448243427
W1,forest_plot,ETTm1,96,13,cka_full_mean_last,0.967965698228264
