experiment_type,dataset,plot_type,horizon,seed,mode,w1_knockout_base_rmse,w1_knockout_delta_mean,w1_knockout_delta_max,w1_knockout_delta_min
W1,ETTh2,knockout_curve,336,23,per_layer,5.172927865446303,-0.000860801420363,0.0028703417045745,-0.0078160754940403
W1,ETTh2,knockout_curve,336,23,last_layer,5.583814787342583,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,42,per_layer,5.89965121684972,-0.0014601328866404,0.0041594398420956,-0.0094301029150427
W1,ETTh2,knockout_curve,720,42,last_layer,6.624829116152894,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,2,per_layer,5.942451319930441,-0.0001620959545885,0.0089999507769968,-0.0117462626104369
W1,ETTh2,knockout_curve,720,2,last_layer,6.669183865811434,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,3,per_layer,5.927371441007294,-0.0033232375792382,0.0047865601532395,-0.01280902682638
W1,ETTh2,knockout_curve,720,3,last_layer,6.60279718473852,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,5,per_layer,5.923415611855221,-0.0026515389278509,0.0012558638540101,-0.0104245156509232
W1,ETTh2,knockout_curve,720,5,last_layer,6.626704452590491,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,7,per_layer,5.897293542409807,-0.0009740190574452,0.0043888183289473,-0.0093612041943291
W1,ETTh2,knockout_curve,720,7,last_layer,6.622615529050262,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,11,per_layer,5.930988291388887,-0.001451636094174,0.0208618524677142,-0.0212344480805706
W1,ETTh2,knockout_curve,720,11,last_layer,6.447342832192198,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,13,per_layer,5.906340707691261,-0.0023478450997243,0.0018984060829962,-0.0101507772217948
W1,ETTh2,knockout_curve,720,13,last_layer,6.562725614272267,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,17,per_layer,5.9291743180830325,-0.0035704138202736,-5.59003844431416e-05,-0.0121566078222858
W1,ETTh2,knockout_curve,720,17,last_layer,6.447392384337415,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,19,per_layer,5.934472851635348,-0.0044997641203432,0.0045721975458858,-0.0173602571705409
W1,ETTh2,knockout_curve,720,19,last_layer,6.650317764816709,0.0,0.0,0.0
W1,ETTh2,knockout_curve,720,23,per_layer,5.940657609251082,-0.0034792024906065,0.0022340919565815,-0.015911542752387
W1,ETTh2,knockout_curve,720,23,last_layer,6.618791916390006,0.0,0.0,0.0
