experiment_type,dataset,plot_type,horizon,seed,mode,w1_knockout_base_rmse,w1_knockout_delta_mean,w1_knockout_delta_max,w1_knockout_delta_min
W1,weather,knockout_curve,720,2,per_layer,82.42067977139895,-0.0087830982788566,0.0186345862411911,-0.044044138067818
W1,weather,knockout_curve,720,2,last_layer,84.47708803403418,0.0,0.0,0.0
W1,weather,knockout_curve,720,3,per_layer,82.35175616320554,-0.0143333416645816,0.0032245588579371,-0.0406734145153677
W1,weather,knockout_curve,720,3,last_layer,83.68482928868393,0.0,0.0,0.0
W1,weather,knockout_curve,720,5,per_layer,82.72373055861406,-0.0190834904208218,0.0048381632227147,-0.0565181807956349
W1,weather,knockout_curve,720,5,last_layer,84.62247561319776,0.0,0.0,0.0
W1,weather,knockout_curve,720,7,per_layer,81.8952187955577,0.0003015692059469,0.013215921853714,-0.0281090552806659
W1,weather,knockout_curve,720,7,last_layer,83.74900869209844,0.0,0.0,0.0
W1,weather,knockout_curve,720,11,per_layer,82.07752013507375,0.0011849062351184,0.0222684941836917,-0.0219246591930897
W1,weather,knockout_curve,720,11,last_layer,83.49525620924965,0.0,0.0,0.0
W1,weather,knockout_curve,720,13,per_layer,83.32942343529442,-0.0099127023863973,0.02230591036529,-0.0531652117417706
W1,weather,knockout_curve,720,13,last_layer,84.33677673346331,0.0,0.0,0.0
W1,weather,knockout_curve,720,17,per_layer,82.2500764330477,-0.003485049520691,0.0274269940157125,-0.0608371862117849
W1,weather,knockout_curve,720,17,last_layer,84.0768499601332,0.0,0.0,0.0
W1,weather,knockout_curve,720,19,per_layer,82.4529264116959,-0.0162002066045577,0.0072470992427184,-0.0600037716300505
W1,weather,knockout_curve,720,19,last_layer,84.37977699150856,0.0,0.0,0.0
W1,weather,knockout_curve,720,23,per_layer,82.30501466400922,-0.0099010886881306,0.0375185894241099,-0.060063112779872
W1,weather,knockout_curve,720,23,last_layer,85.54704655376635,0.0,0.0,0.0
