experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,rmse_knockout,delta_rmse
W1,weather,knockout_curve,96,11,last_layer,4,81.62981252052992,0.0
W1,weather,knockout_curve,96,11,last_layer,5,81.62981252052992,0.0
W1,weather,knockout_curve,96,11,last_layer,6,81.62981252052992,0.0
W1,weather,knockout_curve,96,13,per_layer,0,78.57387235534355,0.0396480970453581
W1,weather,knockout_curve,96,13,per_layer,1,78.56135397875786,0.0271297204596692
W1,weather,knockout_curve,96,13,per_layer,2,78.55092407079205,0.0166998124938544
W1,weather,knockout_curve,96,13,per_layer,3,78.51747336075233,-0.0167508975458616
W1,weather,knockout_curve,96,13,per_layer,4,78.51842204207298,-0.0158022162252109
W1,weather,knockout_curve,96,13,per_layer,5,78.53889202984902,0.004667771550828
W1,weather,knockout_curve,96,13,per_layer,6,78.56583397369376,0.031609715395561
W1,weather,knockout_curve,96,13,last_layer,0,81.85575873076421,0.0
W1,weather,knockout_curve,96,13,last_layer,1,81.85575873076421,0.0
W1,weather,knockout_curve,96,13,last_layer,2,81.85575873076421,0.0
W1,weather,knockout_curve,96,13,last_layer,3,81.85575873076421,0.0
W1,weather,knockout_curve,96,13,last_layer,4,81.85575873076421,0.0
W1,weather,knockout_curve,96,13,last_layer,5,81.85575873076421,0.0
W1,weather,knockout_curve,96,13,last_layer,6,81.85575873076421,0.0
W1,weather,knockout_curve,96,17,per_layer,0,78.46423610323636,0.0133089873374103
W1,weather,knockout_curve,96,17,per_layer,1,78.4441991123185,-0.0067280035804486
W1,weather,knockout_curve,96,17,per_layer,2,78.4433691703337,-0.007557945565253
W1,weather,knockout_curve,96,17,per_layer,3,78.45124392147935,0.0003168055803968
W1,weather,knockout_curve,96,17,per_layer,4,78.44314742704577,-0.0077796888531764
W1,weather,knockout_curve,96,17,per_layer,5,78.46205905813838,0.0111319422394302
W1,weather,knockout_curve,96,17,per_layer,6,78.44678080066024,-0.0041463152387137
W1,weather,knockout_curve,96,17,last_layer,0,81.14845431176707,0.0
W1,weather,knockout_curve,96,17,last_layer,1,81.14845431176707,0.0
W1,weather,knockout_curve,96,17,last_layer,2,81.14845431176707,0.0
W1,weather,knockout_curve,96,17,last_layer,3,81.14845431176707,0.0
W1,weather,knockout_curve,96,17,last_layer,4,81.14845431176707,0.0
W1,weather,knockout_curve,96,17,last_layer,5,81.14845431176707,0.0
W1,weather,knockout_curve,96,17,last_layer,6,81.14845431176707,0.0
W1,weather,knockout_curve,96,19,per_layer,0,78.43272814308459,0.0053947786743009
W1,weather,knockout_curve,96,19,per_layer,1,78.39260407266767,-0.0347292917426216
