experiment_type,dataset,plot_type,horizon,seed,mode,grad_align_s,grad_align_m,grad_align_d,grad_align_mean
W1,ETTh1,grad_align_bar,96,42,per_layer,-0.0050270902894795,0.006472451118315,0.0017682838273957,0.0011707961628368
W1,ETTh1,grad_align_bar,96,42,last_layer,-0.0021986987912369,-0.002928914418603,-0.002077411798344,-0.002355351687816
W1,ETTh1,grad_align_bar,96,2,per_layer,-0.0049201274551869,0.0051997372708716,-0.0016035771855171,-0.0006073588464545
W1,ETTh1,grad_align_bar,96,2,last_layer,0.0009860834678993,0.0007429285554431,0.0015894801953743,0.0011752092332583
W1,ETTh1,grad_align_bar,96,3,per_layer,-0.0047829069146368,0.0078024914010176,0.0031728657844789,0.0022225380465997
W1,ETTh1,grad_align_bar,96,3,last_layer,-0.0052288349872882,0.0058839819161928,0.0065307506024415,0.0029860779521619
W1,ETTh1,grad_align_bar,96,5,per_layer,0.0010257853016272,0.0024579634155061,0.0055792950009713,0.0033864832053115
W1,ETTh1,grad_align_bar,96,5,last_layer,0.0019245960819955,-0.0008049838267958,-0.0005802318065296,7.121844154435172e-05
W1,ETTh1,grad_align_bar,96,7,per_layer,0.0031333858075894,0.0004778622552491,0.0025767532921593,0.0021361080003078
W1,ETTh1,grad_align_bar,96,7,last_layer,0.002984286589405,0.0018070922422551,0.0031462854264721,0.0027173734203909
W1,ETTh1,grad_align_bar,96,11,per_layer,0.0109729611391713,-0.0056113029683103,-0.0014046010548734,0.0009299304538716
W1,ETTh1,grad_align_bar,96,11,last_layer,0.0007593946046009,-0.0016057065670603,0.0013379578172731,0.0003316070752714
W1,ETTh1,grad_align_bar,96,13,per_layer,0.0045412005947603,0.0004646897853114,0.0088170250808155,0.0052089794289414
W1,ETTh1,grad_align_bar,96,13,last_layer,0.0023859404144395,0.0010296053293977,-0.0039044210510244,-0.0006974530950569
W1,ETTh1,grad_align_bar,96,17,per_layer,-0.0033717868298876,-0.0096812807310799,-0.0019471618018194,-0.0045639457896276
W1,ETTh1,grad_align_bar,96,17,last_layer,0.0028290492416056,1.0697663893742763e-05,0.0050831608337194,0.0029898537588795
W1,ETTh1,grad_align_bar,96,19,per_layer,0.011363838355659,-0.0024680963875897,-0.0023496414238276,0.0015346513806651
W1,ETTh1,grad_align_bar,96,19,last_layer,0.0027163759052245,0.0001752080477838,-0.0075724584379704,-0.002419172486842
W1,ETTh1,grad_align_bar,96,23,per_layer,0.0021205231635432,-0.0069018322160264,-0.0081660368281278,-0.0048658183699071
W1,ETTh1,grad_align_bar,96,23,last_layer,-0.0049378118262193,-0.003649404438255,0.0049095112365532,-0.0003494141170413
W1,ETTh1,grad_align_bar,192,42,per_layer,0.0063378313201636,-0.0044109195556623,-0.004508977799889,-0.0013818728386663
W1,ETTh1,grad_align_bar,192,42,last_layer,-0.00254385694155,-0.0024566894978175,-0.0024174233099515,-0.0024647661155128
W1,ETTh1,grad_align_bar,192,2,per_layer,-0.0119009199919087,-0.0016501528397433,0.0025552116138197,-0.0027766444031207
W1,ETTh1,grad_align_bar,192,2,last_layer,0.0103648124440734,0.0008231010959785,0.000563302732059,0.0034379621823259
W1,ETTh1,grad_align_bar,192,3,per_layer,-0.0061812720075902,0.0102090951271535,-0.0021299565266708,0.0002379680941591
W1,ETTh1,grad_align_bar,192,3,last_layer,0.0005677411197606,0.0033215674615628,-0.0022311416174138,0.000155027472915
W1,ETTh1,grad_align_bar,192,5,per_layer,0.0018228889555795,0.0199714375664683,0.0090468343222862,0.010104165144422
W1,ETTh1,grad_align_bar,192,5,last_layer,-0.0017771310819897,-0.0029923959606702,-0.0020631547481942,-0.002246931189986
W1,ETTh1,grad_align_bar,192,7,per_layer,-0.0070186874124177,0.0140733561280872,0.0017788615147312,0.0027779888536475
W1,ETTh1,grad_align_bar,192,7,last_layer,-0.0024756731946323,0.0049417153352627,-0.0001070150300033,0.0006587198844643
W1,ETTh1,grad_align_bar,192,11,per_layer,0.0119717055388266,-0.0043726341426576,-0.0020810142059029,0.001279300024947
W1,ETTh1,grad_align_bar,192,11,last_layer,0.0022291526179311,0.0016865630891834,0.0012596181476523,0.0016586122653122
W1,ETTh1,grad_align_bar,192,13,per_layer,0.0138795928238038,0.005472501917233,-0.0017967438987537,0.0047591368265446
W1,ETTh1,grad_align_bar,192,13,last_layer,0.0016640961722536,-0.0025806699408186,0.0006923284353036,3.483396696872439e-05
W1,ETTh1,grad_align_bar,192,17,per_layer,0.012641129694742,-0.0017550607051171,-0.0006207354238288,0.0028442759582519
W1,ETTh1,grad_align_bar,192,17,last_layer,-0.0023392301349329,0.0045915791209819,-0.0026942552078728,-0.0005111525216457
W1,ETTh1,grad_align_bar,192,19,per_layer,0.0009224937583614,-0.0044588609283578,-8.916129794759158e-06,-0.0010142118184824
W1,ETTh1,grad_align_bar,192,19,last_layer,0.0004540709096109,0.0022302305719646,-0.0019269031488406,-5.8872354767244656e-05
W1,ETTh1,grad_align_bar,192,23,per_layer,0.0064894538835263,0.003187160924637,-0.0057245350253791,0.0003113749343127
W1,ETTh1,grad_align_bar,192,23,last_layer,0.0040858186039515,-0.0023995217178888,-0.0022611927882257,-0.0004872835132217
W1,ETTh1,grad_align_bar,336,42,per_layer,0.0039886376649928,0.0016692543332032,0.0034886433503715,0.0031116734353581
W1,ETTh1,grad_align_bar,336,42,last_layer,0.0049794650342951,-0.0003570742855375,-0.0074702791489142,-0.0018808651356039
W1,ETTh1,grad_align_bar,336,2,per_layer,-0.0027982640550887,0.0141275014251892,0.0136273863464821,0.0090772333970924
