experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,ETTh1,grad_align_bar,96,42,per_layer,0,S,-0.011932
W1,ETTh1,grad_align_bar,96,42,per_layer,1,S,0.001878
W1,ETTh1,grad_align_bar,96,42,per_layer,2,M,0.010611
W1,ETTh1,grad_align_bar,96,42,per_layer,3,M,0.002334
W1,ETTh1,grad_align_bar,96,42,per_layer,4,D,0.000649
W1,ETTh1,grad_align_bar,96,42,per_layer,5,D,0.000283
W1,ETTh1,grad_align_bar,96,42,per_layer,6,D,0.004373
W1,ETTh1,grad_align_bar,96,42,last_layer,0,S,-0.002506
W1,ETTh1,grad_align_bar,96,42,last_layer,1,S,-0.001892
W1,ETTh1,grad_align_bar,96,42,last_layer,2,M,-0.003966
W1,ETTh1,grad_align_bar,96,42,last_layer,3,M,-0.001892
W1,ETTh1,grad_align_bar,96,42,last_layer,4,D,-0.003398
W1,ETTh1,grad_align_bar,96,42,last_layer,5,D,0.003077
W1,ETTh1,grad_align_bar,96,42,last_layer,6,D,-0.005911
W1,ETTh1,grad_align_bar,192,42,per_layer,0,S,0.007632
W1,ETTh1,grad_align_bar,192,42,per_layer,1,S,0.005044
W1,ETTh1,grad_align_bar,192,42,per_layer,2,M,-0.016011
W1,ETTh1,grad_align_bar,192,42,per_layer,3,M,0.007189
W1,ETTh1,grad_align_bar,192,42,per_layer,4,D,-0.000668
W1,ETTh1,grad_align_bar,192,42,per_layer,5,D,-0.00925
W1,ETTh1,grad_align_bar,192,42,per_layer,6,D,-0.003608
W1,ETTh1,grad_align_bar,192,42,last_layer,0,S,-0.007207
W1,ETTh1,grad_align_bar,192,42,last_layer,1,S,0.002119
W1,ETTh1,grad_align_bar,192,42,last_layer,2,M,-0.002324
W1,ETTh1,grad_align_bar,192,42,last_layer,3,M,-0.002589
W1,ETTh1,grad_align_bar,192,42,last_layer,4,D,-0.010405
W1,ETTh1,grad_align_bar,192,42,last_layer,5,D,0.002151
W1,ETTh1,grad_align_bar,192,42,last_layer,6,D,0.001002
W1,ETTh1,grad_align_bar,336,42,per_layer,0,S,-0.004116
W1,ETTh1,grad_align_bar,336,42,per_layer,1,S,0.012093
W1,ETTh1,grad_align_bar,336,42,per_layer,2,M,-0.00397
W1,ETTh1,grad_align_bar,336,42,per_layer,3,M,0.007308
W1,ETTh1,grad_align_bar,336,42,per_layer,4,D,0.005464
W1,ETTh1,grad_align_bar,336,42,per_layer,5,D,0.002975
W1,ETTh1,grad_align_bar,336,42,per_layer,6,D,0.002027
W1,ETTh1,grad_align_bar,336,42,last_layer,0,S,0.004341
W1,ETTh1,grad_align_bar,336,42,last_layer,1,S,0.005618
W1,ETTh1,grad_align_bar,336,42,last_layer,2,M,0.001365
W1,ETTh1,grad_align_bar,336,42,last_layer,3,M,-0.002079
W1,ETTh1,grad_align_bar,336,42,last_layer,4,D,-0.006733
W1,ETTh1,grad_align_bar,336,42,last_layer,5,D,-0.007726
W1,ETTh1,grad_align_bar,336,42,last_layer,6,D,-0.007952
W1,ETTh1,grad_align_bar,720,42,per_layer,0,S,-0.007803
W1,ETTh1,grad_align_bar,720,42,per_layer,1,S,-0.020446
W1,ETTh1,grad_align_bar,720,42,per_layer,2,M,0.005231
W1,ETTh1,grad_align_bar,720,42,per_layer,3,M,0.006853
W1,ETTh1,grad_align_bar,720,42,per_layer,4,D,-0.002582
W1,ETTh1,grad_align_bar,720,42,per_layer,5,D,0.001614
W1,ETTh1,grad_align_bar,720,42,per_layer,6,D,0.00998
W1,ETTh1,grad_align_bar,720,42,last_layer,0,S,0.008362
W1,ETTh1,grad_align_bar,720,42,last_layer,1,S,0.001481
W1,ETTh1,grad_align_bar,720,42,last_layer,2,M,-0.018479
W1,ETTh1,grad_align_bar,720,42,last_layer,3,M,0.016921
W1,ETTh1,grad_align_bar,720,42,last_layer,4,D,0.026227
W1,ETTh1,grad_align_bar,720,42,last_layer,5,D,-0.01637
W1,ETTh1,grad_align_bar,720,42,last_layer,6,D,0.009565
