experiment_type,dataset,plot_type,horizon,seed,mode,depth_cnn,depth_gru,cka_s,cka_m,cka_d,cka_diag_mean,cka_full_mean,n_pairs,nan_frac
W1,ETTh1,cka_heatmap,96,42,per_layer,7,7,0.8267449954158028,0.8979891912802062,0.9115976696348712,0.8863285322827047,0.864861060304872,49,0.0
W1,ETTh1,cka_heatmap,96,42,last_layer,7,7,0.6943360133294636,0.4163884920782879,0.3223875604840499,0.4556293490642925,0.4545742983545052,49,0.0
W1,ETTh1,cka_heatmap,192,42,per_layer,7,7,0.8655932704761902,0.9524567503595945,0.9232096174630233,0.9200580006607079,0.888070898528136,49,0.0
