experiment_type,dataset,plot_type,horizon,seed,mode,w1_knockout_base_rmse,w1_knockout_delta_mean,w1_knockout_delta_max,w1_knockout_delta_min
W1,ETTm1,knockout_curve,96,42,per_layer,2.5726497958997205,-9.271235332989188e-05,0.0008387854480962,-0.000818221366774
W1,ETTm1,knockout_curve,96,42,last_layer,2.6977463696482165,0.0,0.0,0.0
W1,ETTm1,knockout_curve,96,2,per_layer,2.5729536843406096,-0.0003138716606699,6.109648300389736e-05,-0.0005967761120602
W1,ETTm1,knockout_curve,96,2,last_layer,2.6805325723236777,0.0,0.0,0.0
W1,ETTm1,knockout_curve,96,3,per_layer,2.5757933871056284,7.338151338252632e-05,0.0010302890427302,-0.0003440953145483
W1,ETTm1,knockout_curve,96,3,last_layer,2.6850579051771937,0.0,0.0,0.0
W1,ETTm1,knockout_curve,96,5,per_layer,2.566235378606168,-0.0002650230665767,0.0006674892336566,-0.0008943364803193
W1,ETTm1,knockout_curve,96,5,last_layer,2.709730695113568,0.0,0.0,0.0
W1,ETTm1,knockout_curve,96,7,per_layer,2.581480960639311,6.0576072157100415e-05,0.0016956147063091,-0.0004415522070684
W1,ETTm1,knockout_curve,96,7,last_layer,2.6972558790681376,0.0,0.0,0.0
W1,ETTm1,knockout_curve,96,11,per_layer,2.5777846840716583,-0.000127182100988,0.0011089766006637,-0.0006209362220648
W1,ETTm1,knockout_curve,96,11,last_layer,2.7096379309127143,0.0,0.0,0.0
W1,ETTm1,knockout_curve,96,13,per_layer,2.570615103206038,-0.0007939263228367,-0.0004214323151989,-0.0012448022910258
W1,ETTm1,knockout_curve,96,13,last_layer,2.70142896017859,0.0,0.0,0.0
W1,ETTm1,knockout_curve,96,17,per_layer,2.589859469251745,-0.0003761881035422,0.0005167306729507,-0.0022970716907848
W1,ETTm1,knockout_curve,96,17,last_layer,2.702741184654718,0.0,0.0,0.0
W1,ETTm1,knockout_curve,96,19,per_layer,2.5763818576436406,0.0003185422210761,0.0011612833986784,-0.0006269855929756
W1,ETTm1,knockout_curve,96,19,last_layer,2.7008149388121465,0.0,0.0,0.0
W1,ETTm1,knockout_curve,96,23,per_layer,2.589807385555951,-7.49225150789964e-06,0.0006167350096593,-0.0005069797353729
W1,ETTm1,knockout_curve,96,23,last_layer,2.697350060387751,0.0,0.0,0.0
W1,ETTm1,knockout_curve,192,42,per_layer,2.784290730506892,-0.0001878048407666,0.0002602555622512,-0.0007751190462701
W1,ETTm1,knockout_curve,192,42,last_layer,2.895789703072608,0.0,0.0,0.0
W1,ETTm1,knockout_curve,192,2,per_layer,2.7921492973357904,-0.0002375039977103,0.0003170705143307,-0.0007098897292112
W1,ETTm1,knockout_curve,192,2,last_layer,2.914171449142836,0.0,0.0,0.0
W1,ETTm1,knockout_curve,192,3,per_layer,2.791844130029977,1.4344397985612188e-06,0.0007448396777429,-0.001020736286692
W1,ETTm1,knockout_curve,192,3,last_layer,2.8964077293445296,0.0,0.0,0.0
W1,ETTm1,knockout_curve,192,5,per_layer,2.783741750816081,-0.0002833546357601,0.0006992409320347,-0.0007647054542734
W1,ETTm1,knockout_curve,192,5,last_layer,2.956278005975596,0.0,0.0,0.0
W1,ETTm1,knockout_curve,192,7,per_layer,2.7988131801419858,3.895021881161753e-05,0.001044039012759,-0.0003900980177125
W1,ETTm1,knockout_curve,192,7,last_layer,2.915928527554076,0.0,0.0,0.0
W1,ETTm1,knockout_curve,192,11,per_layer,2.792389110164268,-0.0004835438283846,0.0002415503852435,-0.0018138218322065
