experiment_type,dataset,plot_type,horizon,seed,mode,grad_align_s,grad_align_m,grad_align_d,grad_align_mean
W1,ETTm2,grad_align_bar,96,42,per_layer,-0.0105993467035448,-0.0036446037962279,0.003011662991213,-0.0027789874322723
W1,ETTm2,grad_align_bar,96,42,last_layer,-0.0130033578218413,0.0037252256477593,0.0132077464185382,0.0030095678439215
W1,ETTm2,grad_align_bar,96,2,per_layer,-0.0131568073510552,0.0038631724487349,-0.0069828881248012,-0.0056479905970063
W1,ETTm2,grad_align_bar,96,2,last_layer,0.0060471269220381,0.0003119429061629,0.0063301512557781,0.0045297990605338
W1,ETTm2,grad_align_bar,96,3,per_layer,0.0056307475346903,0.0076793610293045,-0.0030254805273194,0.002506253649433
W1,ETTm2,grad_align_bar,96,3,last_layer,0.0163925103319534,0.0006497217267162,0.0033831111629732,0.0063191139437513
W1,ETTm2,grad_align_bar,96,5,per_layer,0.0069648810258858,0.0056225461405157,0.0004969273900936,0.0038093766432977
W1,ETTm2,grad_align_bar,96,5,last_layer,-0.0018614674705454,0.0018782864404528,0.0056478859164682,0.0024253279556028
W1,ETTm2,grad_align_bar,96,7,per_layer,-0.0067378907979279,0.0104256399487858,-0.0079236441931774,-0.0023422048968309
W1,ETTm2,grad_align_bar,96,7,last_layer,0.0046794497451126,0.0057975422695759,0.0213768502173364,0.0121549335259123
W1,ETTm2,grad_align_bar,96,11,per_layer,0.0058051121701986,-0.0177572497210813,0.0047453775905268,-0.0013811631900264
W1,ETTm2,grad_align_bar,96,11,last_layer,-0.0038538047058675,0.0005200922210922,0.011202595989979,0.0038486232857695
W1,ETTm2,grad_align_bar,96,13,per_layer,-0.0043504280449576,-0.0105558555932266,-0.0071486291159493,-0.0073226363748881
W1,ETTm2,grad_align_bar,96,13,last_layer,0.0030375286951103,-0.0061873488606713,-0.0071489439079979,-0.0039637817221593
W1,ETTm2,grad_align_bar,96,17,per_layer,0.0031712705752877,0.003366271730367,-0.0022240967548755,0.0009146849066689
W1,ETTm2,grad_align_bar,96,17,last_layer,0.0024923328394472,0.009529573433445,0.0127364082608878,0.0088932910469211
W1,ETTm2,grad_align_bar,96,19,per_layer,0.0177905850099837,-0.000581188641153,0.0044223177177975,0.0068122494130077
W1,ETTm2,grad_align_bar,96,19,last_layer,0.017762441255296,-0.0026952164631996,-0.0129331763314965,-0.0012378684871852
W1,ETTm2,grad_align_bar,96,23,per_layer,0.008327617961317,-0.0090400933935555,0.0008872286262977,0.0001766764306309
W1,ETTm2,grad_align_bar,96,23,last_layer,-0.0147549773792374,0.0002465724187435,-0.00282741699166,-0.0053570086994239
W1,ETTm2,grad_align_bar,192,42,per_layer,-0.0108383907306217,0.0006019915841935,-0.0024078525782969,-0.0039566222896781
W1,ETTm2,grad_align_bar,192,42,last_layer,0.0083936824997435,0.0029574644155719,-0.0037324924953663,0.001643545192076
W1,ETTm2,grad_align_bar,192,2,per_layer,0.004232575918112,-0.0003596892871295,-0.0045161247401131,-0.0008289429940534
W1,ETTm2,grad_align_bar,192,2,last_layer,0.0097600321942484,-0.0233005916457222,0.0033802207894845,-0.0024200652192134
W1,ETTm2,grad_align_bar,192,3,per_layer,-0.0024404531610482,-0.0003288461823477,-0.0070126795873987,-0.0037966624927126
W1,ETTm2,grad_align_bar,192,3,last_layer,0.0090007302664824,-0.0157438728603162,0.0056310347945538,0.0004866884565705
W1,ETTm2,grad_align_bar,192,5,per_layer,0.0006168278339838,0.0062202032105929,-0.004366100590024,8.225147415449755e-05
W1,ETTm2,grad_align_bar,192,5,last_layer,-0.0059249519409139,0.0090585230868157,-0.0146514606102946,-0.0053838913627257
W1,ETTm2,grad_align_bar,192,7,per_layer,-0.0026321072773311,0.0221209802387734,0.0101307362959178,0.0099099935443768
W1,ETTm2,grad_align_bar,192,7,last_layer,-0.0035142292821172,-0.0061429290606058,0.0101000030948937,0.0015693846570335
W1,ETTm2,grad_align_bar,192,11,per_layer,0.0142075092421864,-0.00678397064939,-0.0029489163192509,0.0008571897468342
W1,ETTm2,grad_align_bar,192,11,last_layer,-0.0052302562334706,0.0072809003305151,-0.0047582093091255,-0.0014533342476125
W1,ETTm2,grad_align_bar,192,13,per_layer,0.0087412594487019,-0.0076302015493032,0.0013593122879408,0.0009000075232314
W1,ETTm2,grad_align_bar,192,13,last_layer,0.007810548164339,0.0007349768411802,0.0030397447311202,0.0037443263149142
W1,ETTm2,grad_align_bar,192,17,per_layer,-0.0037244747302599,-0.0020913170304485,0.0016343222929012,-0.000961230948959
W1,ETTm2,grad_align_bar,192,17,last_layer,0.00255254563396,0.0025881749987687,-0.0108630176690422,-0.0031868016773812
W1,ETTm2,grad_align_bar,192,19,per_layer,0.0098046703336883,-0.0089752160131553,0.0162577341867825,0.0072045873144876
W1,ETTm2,grad_align_bar,192,19,last_layer,0.0049603969168857,0.012452242916557,0.0052109416452605,0.0072083006575238
W1,ETTm2,grad_align_bar,192,23,per_layer,0.0135105016613452,-0.0206546653830295,-0.0040081118360702,-0.0037589518502256
W1,ETTm2,grad_align_bar,192,23,last_layer,-0.0017768437904937,-0.0120195625995094,-0.0068000301416386,-0.0068561290292745
W1,ETTm2,grad_align_bar,336,42,per_layer,-0.0084190414236235,-0.0039530959616358,0.0135243566526995,0.0022612564553685
W1,ETTm2,grad_align_bar,336,42,last_layer,-0.001549115267344,-0.0079239071694194,-0.0017237564870813,-0.003445330619253
W1,ETTm2,grad_align_bar,336,2,per_layer,0.0068266068430759,-0.00461504413736,-0.0056911061475138,-0.0018071704330156
