experiment_type,dataset,plot_type,horizon,seed,mode,depth_cnn,depth_gru,cka_s,cka_m,cka_d,cka_diag_mean,cka_full_mean,n_pairs,nan_frac
W1,ETTm2,cka_heatmap,96,42,per_layer,7,7,0.9811242497103804,0.9683752165404172,0.9313184775601236,0.961254885956836,0.9117820252855656,49,0.0
W1,ETTm2,cka_heatmap,96,42,last_layer,7,7,0.9571465167875672,0.9269910770741824,0.9306334734265344,0.9377828432125684,0.9337556098187348,49,0.0
W1,ETTm2,cka_heatmap,96,2,per_layer,7,7,0.9819546429192268,0.9758729903229504,0.9224722104414091,0.9580181850742028,0.9092722149362736,49,0.0
W1,ETTm2,cka_heatmap,96,2,last_layer,7,7,0.9703688244345704,0.9633420624491276,0.933969931639096,0.952635344113952,0.9504706676199774,49,0.0
W1,ETTm2,cka_heatmap,96,3,per_layer,7,7,0.9854047863835504,0.9764819641356768,0.928973998335501,0.962585278242279,0.9129690434502936,49,0.0
W1,ETTm2,cka_heatmap,96,3,last_layer,7,7,0.9701439424359052,0.9339752493355696,0.924810820164267,0.940735124384124,0.9389656262435916,49,0.0
W1,ETTm2,cka_heatmap,96,5,per_layer,7,7,0.9792162521749052,0.9675214200364368,0.9276204615096748,0.9585369645606504,0.9062947607329076,49,0.0
W1,ETTm2,cka_heatmap,96,5,last_layer,7,7,0.968820343720278,0.949901024327538,0.9199749682636268,0.9425260563852984,0.9418388021045218,49,0.0
W1,ETTm2,cka_heatmap,96,7,per_layer,7,7,0.9788570359180052,0.9713933188497216,0.9215685468548844,0.9557342182392002,0.915645101663002,49,0.0
W1,ETTm2,cka_heatmap,96,7,last_layer,7,7,0.960905334778698,0.9142673532871366,0.9255027592502206,0.9327101858344504,0.9299529723055208,49,0.0
W1,ETTm2,cka_heatmap,96,11,per_layer,7,7,0.9793997833028388,0.9740524077209904,0.9129422862746858,0.9539381963612424,0.9041628219440272,49,0.0
W1,ETTm2,cka_heatmap,96,11,last_layer,7,7,0.9710922860474904,0.947175383300294,0.8797131146185991,0.9252164276058517,0.9252774032734216,49,0.0
W1,ETTm2,cka_heatmap,96,13,per_layer,7,7,0.9786297110842151,0.9785990533122886,0.9314285303184386,0.9635962441319882,0.9209475374470222,49,0.0
W1,ETTm2,cka_heatmap,96,13,last_layer,7,7,0.9735055967019934,0.959659081236946,0.9318342815744844,0.9519085346061326,0.9497591307238412,49,0.0
W1,ETTm2,cka_heatmap,96,17,per_layer,7,7,0.9774158037456316,0.9742552721744973,0.8758696262626288,0.9404679319303751,0.8916037078369163,49,0.0
W1,ETTm2,cka_heatmap,96,17,last_layer,7,7,0.9739690443515592,0.9608280952701924,0.9535385291487384,0.9620015263889716,0.9591952716574996,49,0.0
W1,ETTm2,cka_heatmap,96,19,per_layer,7,7,0.9753457588197316,0.9707330752768364,0.9300094899412608,0.9605346673811408,0.9163826068236636,49,0.0
W1,ETTm2,cka_heatmap,96,19,last_layer,7,7,0.9768765490298827,0.9563459442305964,0.9176970918014596,0.9459868408083574,0.9448150559121956,49,0.0
W1,ETTm2,cka_heatmap,96,23,per_layer,7,7,0.9701381769652926,0.9654623493206042,0.8927231826559113,0.938027139946084,0.8997819177618739,49,0.0
W1,ETTm2,cka_heatmap,96,23,last_layer,7,7,0.9671840524053622,0.9364745973067358,0.9236578259226942,0.9404606058027988,0.93665148800664,49,0.0
W1,ETTm2,cka_heatmap,192,42,per_layer,7,7,0.9793927598839152,0.967277994791906,0.8889126119463493,0.9372457358699284,0.9217593168774968,49,0.0
W1,ETTm2,cka_heatmap,192,42,last_layer,7,7,0.9668975453829876,0.9464460280538152,0.9213784084865116,0.9421592151377992,0.9385219137935956,49,0.0
