experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,ETTm2,cka_heatmap,96,42,per_layer,0,0,S,S,0.976677
W1,ETTm2,cka_heatmap,96,42,per_layer,0,1,S,S,0.970514
W1,ETTm2,cka_heatmap,96,42,per_layer,0,2,S,M,0.943105
W1,ETTm2,cka_heatmap,96,42,per_layer,0,3,S,M,0.904196
W1,ETTm2,cka_heatmap,96,42,per_layer,0,4,S,D,0.860243
W1,ETTm2,cka_heatmap,96,42,per_layer,0,5,S,D,0.798507
W1,ETTm2,cka_heatmap,96,42,per_layer,0,6,S,D,0.710422
W1,ETTm2,cka_heatmap,96,42,per_layer,1,1,S,S,0.990927
W1,ETTm2,cka_heatmap,96,42,per_layer,1,2,S,M,0.975712
W1,ETTm2,cka_heatmap,96,42,per_layer,1,3,S,M,0.944402
W1,ETTm2,cka_heatmap,96,42,per_layer,1,4,S,D,0.908367
W1,ETTm2,cka_heatmap,96,42,per_layer,1,5,S,D,0.842614
W1,ETTm2,cka_heatmap,96,42,per_layer,1,6,S,D,0.759367
W1,ETTm2,cka_heatmap,96,42,per_layer,2,2,M,M,0.977075
W1,ETTm2,cka_heatmap,96,42,per_layer,2,3,M,M,0.960861
W1,ETTm2,cka_heatmap,96,42,per_layer,2,4,M,D,0.935731
W1,ETTm2,cka_heatmap,96,42,per_layer,2,5,M,D,0.87789
W1,ETTm2,cka_heatmap,96,42,per_layer,2,6,M,D,0.803288
W1,ETTm2,cka_heatmap,96,42,per_layer,3,3,M,M,0.969955
W1,ETTm2,cka_heatmap,96,42,per_layer,3,4,M,D,0.960478
W1,ETTm2,cka_heatmap,96,42,per_layer,3,5,M,D,0.916946
W1,ETTm2,cka_heatmap,96,42,per_layer,3,6,M,D,0.856848
W1,ETTm2,cka_heatmap,96,42,per_layer,4,4,D,D,0.969948
W1,ETTm2,cka_heatmap,96,42,per_layer,4,5,D,D,0.944894
W1,ETTm2,cka_heatmap,96,42,per_layer,4,6,D,D,0.897345
W1,ETTm2,cka_heatmap,96,42,per_layer,5,5,D,D,0.950973
W1,ETTm2,cka_heatmap,96,42,per_layer,5,6,D,D,0.918584
W1,ETTm2,cka_heatmap,96,42,per_layer,6,6,D,D,0.893229
W1,ETTm2,cka_heatmap,96,42,last_layer,0,0,S,S,0.978295
W1,ETTm2,cka_heatmap,96,42,last_layer,0,1,S,S,0.937534
W1,ETTm2,cka_heatmap,96,42,last_layer,0,2,S,M,0.929984
W1,ETTm2,cka_heatmap,96,42,last_layer,0,3,S,M,0.9409
W1,ETTm2,cka_heatmap,96,42,last_layer,0,4,S,D,0.957554
W1,ETTm2,cka_heatmap,96,42,last_layer,0,5,S,D,0.951056
W1,ETTm2,cka_heatmap,96,42,last_layer,0,6,S,D,0.931274
W1,ETTm2,cka_heatmap,96,42,last_layer,1,1,S,S,0.935685
W1,ETTm2,cka_heatmap,96,42,last_layer,1,2,S,M,0.927824
W1,ETTm2,cka_heatmap,96,42,last_layer,1,3,S,M,0.938857
W1,ETTm2,cka_heatmap,96,42,last_layer,1,4,S,D,0.955954
W1,ETTm2,cka_heatmap,96,42,last_layer,1,5,S,D,0.949839
W1,ETTm2,cka_heatmap,96,42,last_layer,1,6,S,D,0.929914
W1,ETTm2,cka_heatmap,96,42,last_layer,2,2,M,M,0.925127
W1,ETTm2,cka_heatmap,96,42,last_layer,2,3,M,M,0.936816
W1,ETTm2,cka_heatmap,96,42,last_layer,2,4,M,D,0.954888
W1,ETTm2,cka_heatmap,96,42,last_layer,2,5,M,D,0.94921
W1,ETTm2,cka_heatmap,96,42,last_layer,2,6,M,D,0.929376
W1,ETTm2,cka_heatmap,96,42,last_layer,3,3,M,M,0.92938
W1,ETTm2,cka_heatmap,96,42,last_layer,3,4,M,D,0.94989
W1,ETTm2,cka_heatmap,96,42,last_layer,3,5,M,D,0.945785
W1,ETTm2,cka_heatmap,96,42,last_layer,3,6,M,D,0.927675
W1,ETTm2,cka_heatmap,96,42,last_layer,4,4,D,D,0.944599
W1,ETTm2,cka_heatmap,96,42,last_layer,4,5,D,D,0.941855
W1,ETTm2,cka_heatmap,96,42,last_layer,4,6,D,D,0.925066
W1,ETTm2,cka_heatmap,96,42,last_layer,5,5,D,D,0.935561
W1,ETTm2,cka_heatmap,96,42,last_layer,5,6,D,D,0.92066
W1,ETTm2,cka_heatmap,96,42,last_layer,6,6,D,D,0.915832
W1,ETTm2,cka_heatmap,96,2,per_layer,0,0,S,S,0.982561
W1,ETTm2,cka_heatmap,96,2,per_layer,0,1,S,S,0.964869
W1,ETTm2,cka_heatmap,96,2,per_layer,0,2,S,M,0.940302
W1,ETTm2,cka_heatmap,96,2,per_layer,0,3,S,M,0.896034
W1,ETTm2,cka_heatmap,96,2,per_layer,0,4,S,D,0.813472
W1,ETTm2,cka_heatmap,96,2,per_layer,0,5,S,D,0.732745
W1,ETTm2,cka_heatmap,96,2,per_layer,0,6,S,D,0.649728
W1,ETTm2,cka_heatmap,96,2,per_layer,1,1,S,S,0.987662
W1,ETTm2,cka_heatmap,96,2,per_layer,1,2,S,M,0.973536
W1,ETTm2,cka_heatmap,96,2,per_layer,1,3,S,M,0.938151
W1,ETTm2,cka_heatmap,96,2,per_layer,1,4,S,D,0.875701
W1,ETTm2,cka_heatmap,96,2,per_layer,1,5,S,D,0.804346
W1,ETTm2,cka_heatmap,96,2,per_layer,1,6,S,D,0.726178
W1,ETTm2,cka_heatmap,96,2,per_layer,2,2,M,M,0.984408
W1,ETTm2,cka_heatmap,96,2,per_layer,2,3,M,M,0.964997
W1,ETTm2,cka_heatmap,96,2,per_layer,2,4,M,D,0.924052
W1,ETTm2,cka_heatmap,96,2,per_layer,2,5,M,D,0.865253
W1,ETTm2,cka_heatmap,96,2,per_layer,2,6,M,D,0.792552
W1,ETTm2,cka_heatmap,96,2,per_layer,3,3,M,M,0.974139
