dataset,horizon,seed,mode,model_tag,experiment_type,mse_real,rmse,mae,mse_std,rmse_std,mae_std,win_errors,cg_pearson_mean,cg_spearman_mean,cg_dcor_mean,cg_event_gain,cg_event_hit,cg_maxcorr,cg_bestlag,gc_kernel_tod_dcor,gc_feat_tod_dcor,gc_feat_tod_r2,gc_kernel_feat_dcor,gc_kernel_feat_align
ETTh2,96,42,none,HyperConv,W3,12.988303184509276,3.603928853974406,2.369382858276367,0.1334509253501892,0.9016170755236442,0.6010033811286194,[33.8903   33.78143  32.910557 ... 10.925151 10.839452 11.857608],-0.0398988164961338,-0.0219142939895391,0.2180720688020029,1.05790941680495,0.1977163461538461,0.6353184076195826,-0.6820913461538461,0.4269087808174819,0.4551411754902367,0.0081288817026178,0.999999999,0.999999999
ETTh2,96,42,tod_shift,HyperConv,W3,13.080885887145996,3.616750736109138,2.382307529449463,0.1350082606077194,0.9053457127746368,0.6051101736181091,[34.22086  33.80588  32.22139  ... 10.960411 10.68267  11.640705],-0.0407537817955017,-0.0229940302670002,0.2162229988645789,1.0513605087673148,0.1935096153846154,0.635457520301159,-0.7854567307692307,0.4371310410329199,0.4453322664604031,0.0079392678584944,0.999999999,0.999999999
ETTh2,96,42,smooth,HyperConv,W3,13.011126518249512,3.607093915917565,2.371981143951416,0.1337612867355346,0.9028047290123136,0.6024146233170501,[34.054863 34.02449  33.065483 ... 10.952168 10.904142 11.925104],-0.0406386852264404,-0.0220661144703626,0.2167811190465938,1.0586505270240685,0.1950120192307692,0.6342645481987053,-0.6207932692307693,0.4237349775320236,0.452003205674137,0.0080817675390064,0.999999999,0.999999999
ETTm2,96,42,none,HyperConv,W3,8.774109840393066,2.962112394962937,1.9401285648345947,0.099025622010231,0.8175756067143314,0.5492547352489657,[7.343689  6.9110374 6.987185  ... 7.7627034 8.5571    8.879887 ],-0.002952131209895,0.0611839406192302,0.1425987374258095,1.0143214496139912,0.140625,0.661625184708015,-0.4359208776595745,0.4017679790203788,0.3928003171217026,0.0109877878416677,0.999999999,0.999999999
ETTm2,96,42,tod_shift,HyperConv,W3,8.820706367492676,2.969967401755897,1.9458011388778689,0.0997881814837455,0.8215455894041747,0.5517202931270511,[7.515904  7.3438067 7.37222   ... 7.598075  8.333196  8.655784 ],0.0055462596938014,0.0641894936561584,0.1458556687170271,1.0225516548776563,0.1401817375886524,0.6614451190137005,-0.6274102393617021,0.4026050283337312,0.3565633258447664,0.0114241929445617,0.999999999,0.999999999
ETTm2,96,42,smooth,HyperConv,W3,8.775299072265625,2.962313128665777,1.9406607151031494,0.09911992400884628,0.8163220232527415,0.5484748070750297,[7.350437  6.920292  7.037151  ... 7.6680174 8.473325  8.872089 ],0.0023203068412840366,0.07026498764753342,0.14201496967186902,1.0215617357480755,0.14041722074468085,0.6626157964916171,-0.4056682180851064,0.3930452425320782,0.3988837913926377,0.010997068883126423,0.999999999,0.999999999
