dataset,horizon,seed,mode,model_tag,experiment_type,mse_std,mse_real,rmse,mae,mae_std,cg_pearson_mean,cg_spearman_mean,cg_dcor_mean,cg_event_gain,cg_event_hit,cg_maxcorr,cg_bestlag,gc_kernel_tod_dcor,gc_feat_tod_dcor,gc_feat_tod_r2,gc_kernel_feat_dcor,gc_kernel_feat_align,w1_cka_similarity_cnn_gru,w1_layerwise_upward_improvement,w1_inter_path_gradient_align,cka_s,cka_m,cka_d,cka_diag_mean,cka_full_mean,grad_align_s,grad_align_m,grad_align_d,grad_align_mean
ETTm1,96,42,per_layer,HyperConv,W1,0.3283734023571014,7.911545753479004,2.812747011993614,1.5323652029037476,0.3187254342616848,0.0342843793332576,0.2404705137014389,0.119462939202661,1.1991661689974902,0.1516788563829787,0.6535743529639968,-0.4286901595744681,0.4218376675796172,0.4427006476054594,0.0205332553190948,0.999999999,0.999999999,0.0591542843888686,,0.0193181429058313,0.9925905299725352,0.9931303804247156,0.9564126312012,0.9789133252911484,0.9660061675624332,-0.0047438644043424,0.0023589403181046,0.0034288478732568,0.0007880993496135
ETTm1,96,42,last_layer,HyperConv,W1,0.3564493656158447,8.532306671142578,2.9210112411873013,1.6099567413330078,0.344373414982962,,,,,,,,,,,,,0.1386004195996344,,0.0082519305869936,0.9839193798644528,0.9774784641458908,0.956728831208014,0.9707138004760374,0.9694556982550993,-0.0034543752443263,0.0038813633321549,0.0093233352206766,0.0041177116910981
ETTm1,96,2,per_layer,HyperConv,W1,0.3273398876190185,7.881080627441406,2.807326241718516,1.5278563499450684,0.3181503933904582,-0.0222252588719129,0.0297346971929073,0.1811512012323216,1.0950183332501415,0.1774019281914893,0.6345323351897452,-0.979970079787234,0.8344285166397417,0.7000448674024955,0.01836321680301,0.999999999,0.999999999,0.1448946994710887,,-0.0182510297745466,0.992559994545628,0.9897129928453337,0.9694035126860704,0.9828585487622188,0.9630429016023822,0.0029691358295063,0.0040323280524476,0.0042818603387404,0.0038355012543042
ETTm1,96,2,last_layer,HyperConv,W1,0.3600664436817169,8.658623695373535,2.942553940945439,1.6232367753982544,0.3536047748552638,,,,,,,,,,,,,0.1442060187228417,,-0.0059193903580307,0.9807718165885664,0.9587688547524796,0.94012522700037,0.9571145804722352,0.9582373607321106,0.0028131992087172,-0.0073284960181499,-0.0065321102925715,-0.0040895606423685
ETTm1,96,3,per_layer,HyperConv,W1,0.3270463049411773,7.902689933776855,2.8111723415288603,1.5295612812042236,0.3209525666299931,0.0266209617257118,0.2276722490787506,0.1475450978353393,1.175490548300428,0.1337267287234042,0.6577755288279228,-0.452626329787234,0.5684495080219186,0.3494115380827129,0.0162547819881955,0.999999999,0.999999999,0.1218407507461956,,0.0100621106103062,0.9919558661861928,0.9919719060470444,0.9188662590112142,0.9613829545844282,0.9483049510257224,0.0083333389008911,-0.0070845561459835,0.0056319573079614,0.002770491061957
ETTm1,96,3,last_layer,HyperConv,W1,0.3560739159584045,8.545337677001953,2.9232409543179902,1.6082578897476196,0.3507256417694451,,,,,,,,,,,,,0.1115817952180375,,0.0043207663111388,0.9818313494883036,0.9689470012552392,0.9356020975081588,0.9583678630819484,0.957981436370552,0.0008551627144307,0.0020442100383416,5.8490262933576114e-05,0.0008534594706207
ETTm1,96,5,per_layer,HyperConv,W1,0.327288806438446,7.875955104827881,2.806413209922566,1.5249850749969482,0.3192741347709944,0.0524423830211162,0.244103655219078,0.1672573809321433,1.262338178825535,0.1541306515957446,0.6615794018904281,-1.4224567819148937,0.4619173888238103,0.4539468714113508,0.0191369482371567,0.999999999,0.999999999,0.0740003280670158,,-0.0144051034003496,0.9928951886990676,0.9937157252279036,0.9515171412498946,0.972965560408238,0.9670190915974942,0.0046520872511266,0.0038541246200361,-0.0256416531428744,-0.008558933669471
ETTm1,96,5,last_layer,HyperConv,W1,0.3635227382183075,8.691567420959473,2.9481464381810265,1.6220471858978271,0.3508723870529833,,,,,,,,,,,,,0.1069513566723226,,0.0063269860111176,0.97582583984347,0.9629029734944404,0.971867241956623,0.9705702534424256,0.969350191759212,0.0004674264592281,-0.0003722049972013,0.0057309028182643,0.0024833073398352
ETTm1,96,7,per_layer,HyperConv,W1,0.3302911520004272,7.965682029724121,2.8223539873169914,1.5359363555908203,0.3248819538279098,0.0386447608470916,0.2446739971637725,0.1764689681463525,1.177844330984257,0.1307762632978723,0.6578579692003453,-0.625,0.5434836497422039,0.2959835524824382,0.0181355634531321,0.999999999,0.999999999,0.0717077447980253,,-0.0174793768674135,0.9935896643724712,0.9909940605897556,0.9809316653944312,0.989058141854675,0.9796798078753188,-0.003859696202429,-0.0054878031928869,0.0025433828540205,-0.0015806928897957
ETTm1,96,7,last_layer,HyperConv,W1,0.3698418736457824,8.775367736816406,2.962324718327889,1.634945034980774,0.3699822538566968,,,,,,,,,,,,,0.0958425412183821,,0.0019160208757966,0.980988625943212,0.9742989023849112,0.9663295144754928,0.9728466753122036,0.9720027645325904,-0.0012596796808978,0.0035593761573785,-0.0007553288502347,0.000333343771751
ETTm1,96,11,per_layer,HyperConv,W1,0.3286603093147278,7.934021949768066,2.8167395956616343,1.5337196588516235,0.3186880849258333,-0.011866102926433,0.1084183752536773,0.1526009655664627,1.111220569408033,0.1572611923758865,0.6437430803918218,-1.0501994680851063,0.8522556801280544,0.5122805568494982,0.0183776828416489,0.999999999,0.999999999,0.1534108891074307,,-0.0068340995348989,0.9924443923559598,0.9914871376095822,0.980834833744551,0.9888366682125684,0.9798229488848884,-0.0111144698888357,-0.0052249270095146,-0.0016378940033762,-0.0053703536866899
