dataset,horizon,seed,mode,model_tag,experiment_type,mse_std,mse_real,rmse,mae,mae_std,cg_pearson_mean,cg_spearman_mean,cg_dcor_mean,cg_event_gain,cg_event_hit,cg_maxcorr,cg_bestlag,gc_kernel_tod_dcor,gc_feat_tod_dcor,gc_feat_tod_r2,gc_kernel_feat_dcor,gc_kernel_feat_align,w2_gate_variability_time,w2_gate_variability_sample,w2_gate_entropy,w2_gate_tod_alignment,w2_gate_gru_state_alignment,w2_event_conditional_response,w2_channel_selectivity_kurtosis,w2_channel_selectivity_sparsity,gate_tod_mean_s,gate_tod_mean_m,gate_tod_mean_d,gate_var_t,gate_var_b,gate_entropy,gate_channel_kurt,gate_channel_sparsity,gate_q10,gate_q50,gate_q90,gate_hist10,tod_amp_mean,gate_mean,gate_std,gate_sparsity
ETTh1,96,42,dynamic,HyperConv,W2,0.4285098910331726,9.395216941833496,3.06516181331973,1.8119992017745967,0.2314158797152642,-0.1007349044084549,-0.0646381601691246,0.2332727791333051,1.0007736927901325,0.1862980769230769,0.6425466428203912,-0.7902644230769231,0.7051337355131239,0.8109505039784677,0.0141186905982285,0.999999999,0.999999999,5.551115123125783e-17,5.551115123125783e-17,7.41697961971715,0.0,0.0,5.555409980873741e-17,,,0.4986235261894762,0.4973611091263592,0.4941517120848099,5.551115123125783e-17,5.551115123125783e-17,-3.6873467491539897,,,0.0494406213983893,0.4936544044564168,0.947315028309822,0.1666666666666666,0.0018288172367546,0.496712115800215,0.4475598969668589,0.0
ETTh1,96,42,static,HyperConv,W2,0.4923239946365356,9.611639022827148,3.1002643472496256,1.9063174724578853,0.2412422372966772,,,,,,,,,,,,,0.0,0.0,7.416979619717145,0.0,,,,,0.4979916769079864,0.4982445817440748,0.4975093267858028,0.0,0.0,-3.690595217080859,,,0.0487912982702255,0.4970770465830962,0.9474451452493668,0.1666666666666666,0.0013602265260285,0.4979151951459546,0.4484115993409238,0.0
ETTh1,192,42,dynamic,HyperConv,W2,0.4974849820137024,10.097611427307127,3.17767390197722,1.92502510547638,0.2409161953005755,-0.0723059996962547,-0.0470249205827713,0.2286794511507918,1.0217650422445417,0.2080965909090909,0.6420203880651022,-0.6228693181818182,0.6667813300839192,0.7967841440029051,0.0135242297973038,0.999999999,0.999999999,5.551115123125783e-17,5.551115123125783e-17,7.24992553530998,0.0,2.635002927366034e-32,5.671935378284928e-17,,,0.4988078367896378,0.4978899699635803,0.4950692349423965,5.551115123125783e-17,5.551115123125783e-17,-3.6897990382617065,,,0.049662696942687,0.4947163074587782,0.947526729106903,0.1666666666666666,0.0016843386822276,0.4972556805652048,0.4478115706232838,0.0
ETTh1,192,42,static,HyperConv,W2,0.5371571183204651,10.25082778930664,3.201691395076459,1.96802282333374,0.2513113355192636,,,,,,,,,,,,,5.551115123125783e-17,5.551115123125783e-17,7.24992553530998,0.0,,,,,0.4982292326167226,0.4991411194205284,0.4987063948065042,5.551115123125783e-17,5.551115123125783e-17,-3.6887029486277743,,,0.0494082126766443,0.498451047266523,0.9489245533943176,0.1666666666666666,0.0008517903172307,0.4986922489479183,0.4486911018349299,0.0
ETTh1,336,42,dynamic,HyperConv,W2,0.5721154808998108,10.953782081604004,3.309649842748324,2.036759614944458,0.2596713397974713,-0.0920741334557533,-0.0438134931027889,0.2284221977065327,0.9964417768642306,0.1922743055555555,0.6434100834641343,-0.4496527777777778,0.6585444132664747,0.8187645145339751,0.0150950833171172,0.999999999,0.999999999,0.0,0.0,7.049254840103827,0.0,,0.0,,,0.4988618842326104,0.4977789251133799,0.4954927641277512,0.0,0.0,-3.6902118011145855,,,0.0496610148499409,0.4951644154886405,0.9473645597696304,0.1666666666666666,0.0015034724233878,0.4973778578245806,0.4479319120693392,0.0
ETTh1,336,42,static,HyperConv,W2,0.5872588157653809,10.786826133728027,3.2843303935091592,2.022181749343872,0.2519722832842644,,,,,,,,,,,,,0.0,0.0,7.049254840103827,0.0,,,,,0.4983593509532511,0.4984870189800858,0.4977590081592401,0.0,0.0,-3.6902414734810622,,,0.048991972208023,0.4980271216481924,0.9476191610097886,0.1666666666666666,0.000448585073981,0.4982017926975257,0.4487588160516516,0.0
ETTh1,720,42,dynamic,HyperConv,W2,0.5865061283111572,10.124646186828612,3.181924918477589,1.986430048942566,0.0542072653770446,0.0060956981033086,0.12175814807415,0.1846395834602247,1.1117222905158997,0.181640625,0.6468457745792064,-0.13671875,0.7225750316140699,0.8954201980414331,0.0319180628448042,0.999999999,0.999999999,5.551115123125783e-17,5.551115123125783e-17,5.545177444223527,0.0,5.873430249891905e-33,6.171298419598844e-17,,,0.4987326860427856,0.4979593339376151,0.4961049553627769,5.551115123125783e-17,5.551115123125783e-17,-3.6929100448576526,,,0.0497385317459702,0.4958371001606186,0.947250321507454,0.1666666666666666,0.0011541333256496,0.4975989917810592,0.4480880128223863,0.0
ETTh1,720,42,static,HyperConv,W2,0.6174219846725464,10.865884780883789,3.2963441538898497,2.0965704917907715,0.10203748941421509,,,,,,,,,,,,,1.6653345369377348e-16,1.6653345369377348e-16,5.545177444223525,0.0,,,,,0.4993266840465367,0.4989696512930095,0.4985905845339099,1.6653345369377348e-16,1.6653345369377348e-16,-3.694394421876045,,,0.049674097324411075,0.4987960634753108,0.9483880341053009,0.16666666666666666,0.00042997590369647787,0.49896230662448543,0.44894697438589887,0.0
