experiment_type,dataset,horizon,n_pairs,delta_rmse_mean,delta_rmse_pct_mean,delta_mae_mean,delta_tod_mean,delta_var_time_mean
W2,ETTh1,96,1,0.0351019985973835,1.1322300434112549,0.09431900084018707,0.0004689999914262444,-0.0008520000264979899
W2,ETTh1,192,1,0.024018000811338425,0.7501670122146606,0.04299800097942352,0.0008319999906234443,-0.0008789999992586672
W2,ETTh1,336,1,-0.02531999908387661,-0.7709349989891052,-0.014577999711036682,0.0010550000006332994,-0.0008270000107586384
W2,ETTh1,720,1,0.11441899836063385,3.4710869789123535,0.11014000326395035,0.0007239999831654131,-0.0008590000215917826
