experiment_type,dataset,plot_type,horizon,seed,mode,model_tag,run_tag,tod_bins,tod_amp_s,tod_amp_m,tod_amp_d,tod_amp_mean,valid_ratio,nan_count,amp_method
W3,ETTh2,gate_tod_heatmap,96,42,none,HyperConv,W3_ETTh2_96_42_none,24,0.0,0.0,0.0,0.0,1.0,0,range
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,24,0.0,0.0,2.7755575615628914e-16,9.251858538542972e-17,1.0,0,range
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,24,0.0,0.0,0.0,0.0,1.0,0,range
