experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,rmse_knockout,delta_rmse
W1,ETTh1,knockout_curve,96,42,per_layer,0,3.0654671506849835,-0.0004529628001912
W1,ETTh1,knockout_curve,96,42,per_layer,1,3.065604029592482,-0.0003160838926929
W1,ETTh1,knockout_curve,96,42,per_layer,2,3.0661362434618686,0.0002161299766938
W1,ETTh1,knockout_curve,96,42,per_layer,3,3.0658010698594214,-0.0001190436257534
W1,ETTh1,knockout_curve,96,42,per_layer,4,3.0657207695703628,-0.000199343914812
W1,ETTh1,knockout_curve,96,42,per_layer,5,3.065353985082885,-0.0005661284022897
W1,ETTh1,knockout_curve,96,42,per_layer,6,3.063085037714869,-0.0028350757703052
W1,ETTh1,knockout_curve,96,42,last_layer,0,3.2985084717604023,0.0
W1,ETTh1,knockout_curve,96,42,last_layer,1,3.2985084717604023,0.0
W1,ETTh1,knockout_curve,96,42,last_layer,2,3.2985084717604023,0.0
W1,ETTh1,knockout_curve,96,42,last_layer,3,3.2985084717604023,0.0
W1,ETTh1,knockout_curve,96,42,last_layer,4,3.2985084717604023,0.0
W1,ETTh1,knockout_curve,96,42,last_layer,5,3.2985084717604023,0.0
W1,ETTh1,knockout_curve,96,42,last_layer,6,3.2985084717604023,0.0
W1,ETTh1,knockout_curve,96,2,per_layer,0,3.0627789428728405,0.0020748871012599
W1,ETTh1,knockout_curve,96,2,per_layer,1,3.0604767106417614,-0.0002273451298191
W1,ETTh1,knockout_curve,96,2,per_layer,2,3.06206896181394,0.001364906042359
W1,ETTh1,knockout_curve,96,2,per_layer,3,3.0611090728359125,0.0004050170643319
W1,ETTh1,knockout_curve,96,2,per_layer,4,3.06129877938675,0.0005947236151695
W1,ETTh1,knockout_curve,96,2,per_layer,5,3.0599691497893167,-0.0007349059822638
W1,ETTh1,knockout_curve,96,2,per_layer,6,3.058824792468988,-0.0018792633025923
W1,ETTh1,knockout_curve,96,2,last_layer,0,3.31950374169016,0.0
W1,ETTh1,knockout_curve,96,2,last_layer,1,3.31950374169016,0.0
W1,ETTh1,knockout_curve,96,2,last_layer,2,3.31950374169016,0.0
W1,ETTh1,knockout_curve,96,2,last_layer,3,3.31950374169016,0.0
W1,ETTh1,knockout_curve,96,2,last_layer,4,3.31950374169016,0.0
W1,ETTh1,knockout_curve,96,2,last_layer,5,3.31950374169016,0.0
W1,ETTh1,knockout_curve,96,2,last_layer,6,3.31950374169016,0.0
W1,ETTh1,knockout_curve,96,3,per_layer,0,3.0690008989309794,0.0003719833848712
W1,ETTh1,knockout_curve,96,3,per_layer,1,3.0700674798861813,0.0014385643400731
W1,ETTh1,knockout_curve,96,3,per_layer,2,3.0684121375158027,-0.0002167780303055
W1,ETTh1,knockout_curve,96,3,per_layer,3,3.0693046115268263,0.0006756959807181
W1,ETTh1,knockout_curve,96,3,per_layer,4,3.0702837496666,0.001654834120492
W1,ETTh1,knockout_curve,96,3,per_layer,5,3.0699824917321985,0.0013535761860903
W1,ETTh1,knockout_curve,96,3,per_layer,6,3.0651978859176428,-0.0034310296284654
W1,ETTh1,knockout_curve,96,3,last_layer,0,3.3269733538969444,0.0
W1,ETTh1,knockout_curve,96,3,last_layer,1,3.3269733538969444,0.0
W1,ETTh1,knockout_curve,96,3,last_layer,2,3.3269733538969444,0.0
W1,ETTh1,knockout_curve,96,3,last_layer,3,3.3269733538969444,0.0
W1,ETTh1,knockout_curve,96,3,last_layer,4,3.3269733538969444,0.0
W1,ETTh1,knockout_curve,96,3,last_layer,5,3.3269733538969444,0.0
W1,ETTh1,knockout_curve,96,3,last_layer,6,3.3269733538969444,0.0
W1,ETTh1,knockout_curve,96,5,per_layer,0,3.068962074301502,0.0004781077478508
W1,ETTh1,knockout_curve,96,5,per_layer,1,3.069583955090434,0.001099988536783
W1,ETTh1,knockout_curve,96,5,per_layer,2,3.069287951024822,0.0008039844711711
W1,ETTh1,knockout_curve,96,5,per_layer,3,3.068193525837868,-0.0002904407157831
W1,ETTh1,knockout_curve,96,5,per_layer,4,3.068527965709744,4.399915609232252e-05
W1,ETTh1,knockout_curve,96,5,per_layer,5,3.0682319250414407,-0.0002520415122102
W1,ETTh1,knockout_curve,96,5,per_layer,6,3.067234617659377,-0.0012493488942735
W1,ETTh1,knockout_curve,96,5,last_layer,0,3.3167473276831565,0.0
W1,ETTh1,knockout_curve,96,5,last_layer,1,3.3167473276831565,0.0
