experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,weather,grad_align_bar,96,13,per_layer,0,S,-0.00852
W1,weather,grad_align_bar,96,13,per_layer,1,S,-0.019193
W1,weather,grad_align_bar,96,13,per_layer,2,M,-0.012361
W1,weather,grad_align_bar,96,13,per_layer,3,M,-0.012753
W1,weather,grad_align_bar,96,13,per_layer,4,D,-0.002064
W1,weather,grad_align_bar,96,13,per_layer,5,D,-0.001942
W1,weather,grad_align_bar,96,13,per_layer,6,D,0.00935
W1,weather,grad_align_bar,96,13,last_layer,0,S,-0.000769
W1,weather,grad_align_bar,96,13,last_layer,1,S,-0.009864
W1,weather,grad_align_bar,96,13,last_layer,2,M,0.004698
W1,weather,grad_align_bar,96,13,last_layer,3,M,0.003647
W1,weather,grad_align_bar,96,13,last_layer,4,D,-0.013441
W1,weather,grad_align_bar,96,13,last_layer,5,D,-0.007758
W1,weather,grad_align_bar,96,13,last_layer,6,D,0.015661
W1,weather,grad_align_bar,96,17,per_layer,0,S,0.005677
W1,weather,grad_align_bar,96,17,per_layer,1,S,0.013435
W1,weather,grad_align_bar,96,17,per_layer,2,M,0.011524
W1,weather,grad_align_bar,96,17,per_layer,3,M,0.010275
W1,weather,grad_align_bar,96,17,per_layer,4,D,-0.017139
W1,weather,grad_align_bar,96,17,per_layer,5,D,0.002375
W1,weather,grad_align_bar,96,17,per_layer,6,D,0.010522
W1,weather,grad_align_bar,96,17,last_layer,0,S,0.005439
W1,weather,grad_align_bar,96,17,last_layer,1,S,0.000325
W1,weather,grad_align_bar,96,17,last_layer,2,M,-0.003492
W1,weather,grad_align_bar,96,17,last_layer,3,M,0.003858
W1,weather,grad_align_bar,96,17,last_layer,4,D,-0.000943
W1,weather,grad_align_bar,96,17,last_layer,5,D,-0.00519
W1,weather,grad_align_bar,96,17,last_layer,6,D,0.001333
W1,weather,grad_align_bar,96,19,per_layer,0,S,0.009181
W1,weather,grad_align_bar,96,19,per_layer,1,S,-0.009026
W1,weather,grad_align_bar,96,19,per_layer,2,M,0.006736
W1,weather,grad_align_bar,96,19,per_layer,3,M,0.011601
W1,weather,grad_align_bar,96,19,per_layer,4,D,-0.002658
W1,weather,grad_align_bar,96,19,per_layer,5,D,0.016121
W1,weather,grad_align_bar,96,19,per_layer,6,D,-0.011051
W1,weather,grad_align_bar,96,19,last_layer,0,S,0.00495
W1,weather,grad_align_bar,96,19,last_layer,1,S,-0.002552
W1,weather,grad_align_bar,96,19,last_layer,2,M,0.001074
W1,weather,grad_align_bar,96,19,last_layer,3,M,-0.000166
W1,weather,grad_align_bar,96,19,last_layer,4,D,-0.011979
W1,weather,grad_align_bar,96,19,last_layer,5,D,0.010547
W1,weather,grad_align_bar,96,19,last_layer,6,D,-0.004105
W1,weather,grad_align_bar,96,23,per_layer,0,S,0.007282
W1,weather,grad_align_bar,96,23,per_layer,1,S,0.019612
W1,weather,grad_align_bar,96,23,per_layer,2,M,-0.008886
W1,weather,grad_align_bar,96,23,per_layer,3,M,-0.00088
W1,weather,grad_align_bar,96,23,per_layer,4,D,0.004448
W1,weather,grad_align_bar,96,23,per_layer,5,D,-0.003859
W1,weather,grad_align_bar,96,23,per_layer,6,D,-0.007082
W1,weather,grad_align_bar,96,23,last_layer,0,S,0.007122
W1,weather,grad_align_bar,96,23,last_layer,1,S,-0.005748
W1,weather,grad_align_bar,96,23,last_layer,2,M,-0.001348
W1,weather,grad_align_bar,96,23,last_layer,3,M,0.008762
W1,weather,grad_align_bar,96,23,last_layer,4,D,-0.00916
W1,weather,grad_align_bar,96,23,last_layer,5,D,-0.012056
W1,weather,grad_align_bar,96,23,last_layer,6,D,-0.00461
W1,weather,grad_align_bar,192,42,per_layer,0,S,0.007778
W1,weather,grad_align_bar,192,42,per_layer,1,S,0.027474
W1,weather,grad_align_bar,192,42,per_layer,2,M,0.004208
W1,weather,grad_align_bar,192,42,per_layer,3,M,-0.001752
W1,weather,grad_align_bar,192,42,per_layer,4,D,-0.002704
W1,weather,grad_align_bar,192,42,per_layer,5,D,0.003776
W1,weather,grad_align_bar,192,42,per_layer,6,D,0.005907
W1,weather,grad_align_bar,192,42,last_layer,0,S,0.011768
