experiment_type,dataset,horizon,perturbation,n_pairs,delta_rmse_mean,delta_rmse_pct_mean,delta_mae_mean,delta_tod_mean
W3,ETTm2,96,smooth,1,0.0,0.0,0.0,0.0
W3,ETTm2,96,tod_shift,1,0.0,0.0,0.0,0.0
