experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,weather,cka_heatmap,96,2,per_layer,3,5,M,D,0.985
W1,weather,cka_heatmap,96,2,per_layer,3,6,M,D,0.978444
W1,weather,cka_heatmap,96,2,per_layer,4,4,D,D,0.992683
W1,weather,cka_heatmap,96,2,per_layer,4,5,D,D,0.984954
W1,weather,cka_heatmap,96,2,per_layer,4,6,D,D,0.979605
W1,weather,cka_heatmap,96,2,per_layer,5,5,D,D,0.96712
W1,weather,cka_heatmap,96,2,per_layer,5,6,D,D,0.97045
W1,weather,cka_heatmap,96,2,per_layer,6,6,D,D,0.965669
W1,weather,cka_heatmap,96,2,last_layer,0,0,S,S,0.988123
W1,weather,cka_heatmap,96,2,last_layer,0,1,S,S,0.966725
W1,weather,cka_heatmap,96,2,last_layer,0,2,S,M,0.96555
W1,weather,cka_heatmap,96,2,last_layer,0,3,S,M,0.986414
W1,weather,cka_heatmap,96,2,last_layer,0,4,S,D,0.995962
W1,weather,cka_heatmap,96,2,last_layer,0,5,S,D,0.990343
W1,weather,cka_heatmap,96,2,last_layer,0,6,S,D,0.979613
W1,weather,cka_heatmap,96,2,last_layer,1,1,S,S,0.969819
W1,weather,cka_heatmap,96,2,last_layer,1,2,S,M,0.968852
W1,weather,cka_heatmap,96,2,last_layer,1,3,S,M,0.988361
W1,weather,cka_heatmap,96,2,last_layer,1,4,S,D,0.996252
W1,weather,cka_heatmap,96,2,last_layer,1,5,S,D,0.98975
W1,weather,cka_heatmap,96,2,last_layer,1,6,S,D,0.978736
W1,weather,cka_heatmap,96,2,last_layer,2,2,M,M,0.967497
W1,weather,cka_heatmap,96,2,last_layer,2,3,M,M,0.987588
W1,weather,cka_heatmap,96,2,last_layer,2,4,M,D,0.995938
W1,weather,cka_heatmap,96,2,last_layer,2,5,M,D,0.989525
W1,weather,cka_heatmap,96,2,last_layer,2,6,M,D,0.978382
W1,weather,cka_heatmap,96,2,last_layer,3,3,M,M,0.985972
W1,weather,cka_heatmap,96,2,last_layer,3,4,M,D,0.996231
W1,weather,cka_heatmap,96,2,last_layer,3,5,M,D,0.991154
W1,weather,cka_heatmap,96,2,last_layer,3,6,M,D,0.981
W1,weather,cka_heatmap,96,2,last_layer,4,4,D,D,0.995452
W1,weather,cka_heatmap,96,2,last_layer,4,5,D,D,0.991187
W1,weather,cka_heatmap,96,2,last_layer,4,6,D,D,0.981272
W1,weather,cka_heatmap,96,2,last_layer,5,5,D,D,0.991333
W1,weather,cka_heatmap,96,2,last_layer,5,6,D,D,0.981892
W1,weather,cka_heatmap,96,2,last_layer,6,6,D,D,0.984079
