experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,rmse_knockout,delta_rmse
W1,ETTm2,knockout_curve,96,5,per_layer,4,3.4800669613256483,-0.0014332147800728
W1,ETTm2,knockout_curve,96,5,per_layer,5,3.477989741179754,-0.0035104349259671
W1,ETTm2,knockout_curve,96,5,per_layer,6,3.4732206423403555,-0.0082795337653656
W1,ETTm2,knockout_curve,96,5,last_layer,0,3.6739702007014494,0.0
W1,ETTm2,knockout_curve,96,5,last_layer,1,3.6739702007014494,0.0
W1,ETTm2,knockout_curve,96,5,last_layer,2,3.6739702007014494,0.0
W1,ETTm2,knockout_curve,96,5,last_layer,3,3.6739702007014494,0.0
W1,ETTm2,knockout_curve,96,5,last_layer,4,3.6739702007014494,0.0
W1,ETTm2,knockout_curve,96,5,last_layer,5,3.6739702007014494,0.0
W1,ETTm2,knockout_curve,96,5,last_layer,6,3.6739702007014494,0.0
W1,ETTm2,knockout_curve,96,7,per_layer,0,3.490115609805813,0.0006706978325783
W1,ETTm2,knockout_curve,96,7,per_layer,1,3.488184884715452,-0.0012600272577825
W1,ETTm2,knockout_curve,96,7,per_layer,2,3.490310676809653,0.0008657648364187
W1,ETTm2,knockout_curve,96,7,per_layer,3,3.49290882081568,0.0034639088424448
W1,ETTm2,knockout_curve,96,7,per_layer,4,3.4882371820654354,-0.001207729907799
W1,ETTm2,knockout_curve,96,7,per_layer,5,3.4843296983169707,-0.0051152136562637
W1,ETTm2,knockout_curve,96,7,per_layer,6,3.479120068653722,-0.0103248433195126
W1,ETTm2,knockout_curve,96,7,last_layer,0,3.722086552032595,0.0
W1,ETTm2,knockout_curve,96,7,last_layer,1,3.722086552032595,0.0
W1,ETTm2,knockout_curve,96,7,last_layer,2,3.722086552032595,0.0
W1,ETTm2,knockout_curve,96,7,last_layer,3,3.722086552032595,0.0
W1,ETTm2,knockout_curve,96,7,last_layer,4,3.722086552032595,0.0
W1,ETTm2,knockout_curve,96,7,last_layer,5,3.722086552032595,0.0
W1,ETTm2,knockout_curve,96,7,last_layer,6,3.722086552032595,0.0
W1,ETTm2,knockout_curve,96,11,per_layer,0,3.4882794120972087,-0.0127333614328088
W1,ETTm2,knockout_curve,96,11,per_layer,1,3.5021676888896733,0.0011549153596557
W1,ETTm2,knockout_curve,96,11,per_layer,2,3.497549433698442,-0.0034633398315757
W1,ETTm2,knockout_curve,96,11,per_layer,3,3.49366585431494,-0.0073469192150779
W1,ETTm2,knockout_curve,96,11,per_layer,4,3.4951677940381782,-0.0058449794918393
W1,ETTm2,knockout_curve,96,11,per_layer,5,3.495521303437632,-0.005491470092386
W1,ETTm2,knockout_curve,96,11,per_layer,6,3.4870119821086947,-0.0140007914213229
W1,ETTm2,knockout_curve,96,11,last_layer,0,3.69895881424972,0.0
W1,ETTm2,knockout_curve,96,11,last_layer,1,3.69895881424972,0.0
W1,ETTm2,knockout_curve,96,11,last_layer,2,3.69895881424972,0.0
W1,ETTm2,knockout_curve,96,11,last_layer,3,3.69895881424972,0.0
